iter	Passed	Remaining
0	3	1821
1	5	1433
2	7	1313
3	9	1235
4	11	1172
5	13	1152
6	15	1103
7	17	1059
8	18	1026
9	20	1009
10	22	991
11	24	984
12	26	983
13	27	965
14	29	949
15	31	939
16	32	933
17	34	927
18	36	918
19	37	908
20	39	905
21	41	904
22	43	904
23	45	904
24	47	898
25	48	892
26	50	885
27	52	878
28	53	870
29	55	865
30	56	861
31	58	859
32	60	853
33	62	850
34	63	846
35	65	843
36	67	840
37	68	836
38	70	833
39	72	830
40	74	829
41	75	826
42	77	823
43	79	821
44	81	821
45	82	818
46	84	815
47	86	814
48	88	811
49	90	810
50	91	807
51	93	804
52	95	806
53	97	807
54	99	806
55	101	806
56	103	806
57	105	807
58	107	805
59	109	803
60	111	802
61	113	802
62	115	800
63	117	797
64	118	796
65	120	794
66	122	793
67	124	790
68	126	788
69	127	786
70	129	784
71	131	782
72	133	779
73	135	777
74	136	776
75	139	775
76	141	775
77	143	774
78	145	774
79	147	772
80	149	771
81	151	769
82	152	767
83	155	768
84	156	766
85	158	764
86	160	762
87	162	761
88	164	760
89	166	758
90	168	757
91	171	758
92	173	757
93	175	756
94	177	755
95	178	753
96	181	752
97	182	750
98	184	749
99	187	748
100	188	746
101	190	744
102	192	742
103	194	740
104	196	738
105	198	736
106	199	734
107	201	733
108	204	732
109	205	730
110	207	728
111	209	726
112	211	724
113	213	723
114	216	724
115	218	724
116	221	723
117	223	723
118	225	721
119	227	720
120	230	720
121	232	720
122	235	721
123	237	719
124	239	719
125	241	717
126	243	715
127	245	713
128	248	714
129	250	712
130	252	712
131	255	711
132	257	709
133	259	707
134	261	706
135	263	703
136	264	701
137	266	700
138	268	698
139	270	696
140	272	694
141	274	692
142	276	690
143	278	688
144	280	686
145	282	685
146	284	683
147	286	682
148	288	680
149	290	678
150	292	676
151	294	674
152	296	673
153	298	671
154	300	669
155	302	667
156	304	665
157	306	663
158	308	662
159	310	660
160	312	658
161	314	656
162	317	655
163	319	653
164	320	651
165	322	649
166	324	647
167	326	645
168	328	644
169	332	646
170	335	645
171	337	643
172	339	641
173	341	639
174	343	637
175	345	636
176	348	635
177	350	633
178	352	631
179	354	629
180	356	627
181	358	625
182	360	623
183	362	621
184	364	620
185	366	618
186	368	616
187	370	614
188	372	613
189	374	611
190	376	609
191	378	607
192	381	606
193	382	604
194	384	602
195	386	600
196	388	597
197	391	596
198	393	595
199	395	593
200	398	592
201	399	589
202	401	587
203	403	585
204	406	584
205	409	584
206	412	583
207	414	582
208	417	581
209	419	579
210	421	577
211	423	575
212	425	573
213	427	571
214	430	570
215	432	568
216	434	566
217	436	564
218	438	562
219	440	560
220	441	557
221	444	556
222	446	554
223	448	552
224	450	550
225	452	548
226	454	546
227	456	544
228	458	542
229	460	540
230	463	539
231	465	537
232	467	535
233	469	533
234	470	531
235	472	528
236	474	526
237	477	525
238	479	523
239	481	521
240	483	519
241	485	517
242	487	515
243	489	513
244	491	511
245	494	510
246	496	509
247	499	507
248	502	506
249	504	504
250	507	503
251	509	501
252	511	499
253	514	497
254	516	496
255	518	494
256	521	492
257	523	491
258	526	489
259	528	488
260	531	486
261	533	484
262	535	482
263	538	481
264	540	479
265	543	477
266	545	475
267	547	473
268	549	471
269	552	470
270	554	468
271	556	466
272	559	465
273	561	463
274	563	461
275	565	459
276	567	456
277	569	454
278	571	452
279	573	450
280	575	448
281	577	446
282	579	444
283	581	442
284	583	440
285	586	438
286	588	436
287	590	434
288	592	432
289	594	430
290	596	428
291	598	426
292	600	424
293	602	422
294	605	420
295	607	418
296	609	416
297	611	414
298	613	412
299	616	410
300	618	408
301	620	406
302	622	404
303	624	402
304	627	400
305	628	398
306	630	396
307	633	394
308	634	392
309	637	390
310	639	388
311	641	386
312	643	384
313	645	382
314	647	380
315	649	378
316	651	376
317	653	374
318	656	372
319	658	370
320	660	368
321	662	366
322	664	364
323	666	362
324	669	360
325	671	358
326	673	356
327	676	354
328	678	352
329	680	350
330	682	348
331	684	346
332	686	344
333	688	342
334	690	340
335	692	338
336	695	336
337	697	334
338	699	332
339	701	330
340	703	328
341	705	326
342	708	324
343	710	322
344	712	320
345	714	317
346	716	315
347	718	313
348	720	311
349	723	310
350	726	308
351	730	307
352	732	305
353	735	303
354	738	301
355	741	299
356	744	298
357	747	296
358	750	294
359	753	293
360	756	291
361	758	289
362	761	287
363	763	285
364	766	283
365	769	281
366	771	279
367	774	277
368	777	276
369	780	274
370	783	272
371	786	270
372	789	268
373	791	266
374	794	264
375	797	263
376	800	261
377	802	259
378	805	257
379	807	255
380	810	253
381	812	251
382	815	249
383	818	247
384	820	245
385	823	243
386	826	241
387	828	239
388	831	237
389	834	235
390	836	233
391	839	231
392	841	229
393	843	227
394	846	224
395	848	222
396	851	220
397	853	218
398	855	216
399	857	214
400	860	212
401	862	210
402	865	208
403	867	206
404	869	203
405	871	201
406	873	199
407	875	197
408	878	195
409	881	193
410	884	191
411	886	189
412	888	187
413	891	185
414	894	183
415	896	181
416	899	179
417	901	176
418	904	174
419	906	172
420	908	170
421	911	168
422	913	166
423	916	164
424	919	162
425	921	160
426	924	157
427	926	155
428	928	153
429	931	151
430	933	149
431	936	147
432	938	145
433	940	142
434	942	140
435	944	138
436	947	136
437	949	134
438	951	132
439	953	129
440	955	127
441	957	125
442	959	123
443	961	121
444	964	119
445	966	116
446	968	114
447	970	112
448	972	110
449	974	108
450	977	106
451	979	104
452	982	101
453	984	99
454	987	97
455	990	95
456	992	93
457	995	91
458	998	89
459	1001	87
460	1004	84
461	1006	82
462	1010	80
463	1014	78
464	1016	76
465	1020	74
466	1022	72
467	1025	70
468	1028	67
469	1031	65
470	1034	63
471	1036	61
472	1039	59
473	1042	57
474	1045	55
475	1047	52
476	1050	50
477	1053	48
478	1056	46
479	1059	44
480	1062	41
481	1065	39
482	1068	37
483	1073	35
484	1076	33
485	1079	31
486	1082	28
487	1086	26
488	1089	24
489	1092	22
490	1095	20
491	1098	17
492	1101	15
493	1104	13
494	1107	11
495	1110	8
496	1114	6
497	1121	4
498	1133	2
499	1179	0
